geometry,objectid,mukey,observed,predicted,resid
010600000003000000010300000001000000100000003A88855EEF6A57C07BFE279066FD4440C4930599056B57C073F6078566FD44402C23BE7E056B57C0FCD0851F68FD4440C18D99BE076B57C0F4EE6C3F6FFD4440C92431DF036B57C03D73CD9E73FD44401860E5FE026B57C0084F845F73FD444078F409BF006B57C0F82EBD9E74FD44402721019FFB6A57C0E8F30D3F75FD44402B56BD9EF46A57C0EDCE6DDF74FD444030153D3FF26A57C08674A41E76FD444016B81D9FEE6A57C0D0297DFE72FD4440811EDDFEEC6A57C04FDDADFE6FFD44403398F1BEEB6A57C0AE8F8C5E6CFD44407C60911EEC6A57C02386541F6BFD44402FCE29DFED6A57C006E21DFF68FD44403A88855EEF6A57C07BFE279066FD4440010300000001000000040000001844A2C7206B57C06E416D7766FD4440157F8F11266B57C069A1C77466FD44400FD4E1FE246B57C0FA651DFF68FD44401844A2C7206B57C06E416D7766FD444001030000000100000012000000E1B95C2C3D6B57C0B956376966FD4440698700C14C6B57C0C1116B6166FD444093372F3F4D6B57C0FF0B2CFF67FD4440BA2703FF4F6B57C0E4C9A3BF6BFD44409E38A3FE556B57C0528D3B9F6CFD4440FD11F39E566B57C0DDE7341F6DFD444039409B7E566B57C0AB0975BF6EFD444022C2139F546B57C027D2545F76FD4440ABFDF2FE506B57C0340634FF7DFD4440B9CBC25E4E6B57C017B5E3BE77FD4440D6E4E71E4C6B57C094D203BF75FD44407A09171F496B57C0FE567CDF73FD44406EBBEEFE456B57C0598D33BF72FD4440F966AB9E446B57C08FBE4B3F71FD444029FBBA9E436B57C0A91154BF70FD4440CCC7DA9E416B57C050BDD45F6EFD4440B0F01A9F3D6B57C09A003CFF66FD4440E1B95C2C3D6B57C0B956376966FD4440,1670419,2835021,196.34,204.03448,7.694479999999999
01060000000100000001030000000100000018000000C570D7C15B6B57C085B06D388AFD4440EB76BD1A5C6B57C0EB515A9EA6FD44402E5CAFDE5A6B57C018374C7FA9FD44402773D75E586B57C0CBFCC45EACFD444060B9A3FE556B57C096406D1FADFD4440CDD9F7BE506B57C0EF960C7FADFD4440FDA1A3BE4A6B57C079AC94FFA4FD444083DB061F4A6B57C01CFD545FA3FD4440E2680BDF496B57C0006BA45F9EFD44403C8B9FFE4A6B57C0E1F22D9F9AFD4440EE6027BF4D6B57C0FAAE64BF9CFD4440972BFB7E506B57C0DE955D3F9DFD444038BBE7BE516B57C0E3DD6D3F9CFD4440FB2F30DF526B57C060858C3F9AFD444065512FDF526B57C0334BA4BF98FD4440623AEB7E516B57C033E5147F96FD44408A02B09E4F6B57C0D9DD8C9F94FD444092E6C25E4E6B57C06A10ADBE91FD444055BFBBDE4E6B57C0507F34DF8EFD444017ECAADE4F6B57C03259ADFF8CFD4440A5348F9E516B57C0D011C57F8BFD4440C016A03E566B57C0A77884DF89FD44409C711BBF596B57C01E3F85DF89FD4440C570D7C15B6B57C085B06D388AFD4440,1699584,2835194,178.26,204.27408,26.014080000000007
01060000000100000001030000000100000045000000CFA4F406CE6A57C091EE373D99FD444050A638C1CD6A57C0A431374071FD44401123F81ECF6A57C0938145BF71FD444057DD34FFD06A57C04CE2F41E71FD4440BA07981ED56A57C077DA75DE6DFD4440CC0FD13ED76A57C051209E5E6BFD4440AB5E6D23DA6A57C09D32C89A66FD44403A88855EEF6A57C07BFE279066FD44402FCE29DFED6A57C006E21DFF68FD44407C60911EEC6A57C02386541F6BFD44403398F1BEEB6A57C0AE8F8C5E6CFD4440378600BFEA6A57C0653585DE6CFD44403EA805DFE46A57C096F9AD9E75FD44405674F17EE06A57C07C00B5BE7AFD44406B80BC7ED86A57C073A7955E82FD4440A830FD7ED46A57C0BB43A6FE86FD4440B958B45ED36A57C0F045C67F8BFD444023710C7FD36A57C05EF63D5F8EFD4440BC5A013FD46A57C06D12D61F90FD4440E517F5FED46A57C0A26BC51F91FD44404D67D8BED66A57C00AF5647F91FD44407661AD7ED96A57C0D18416DF90FD4440AF4CE95EDB6A57C08BD81C5F90FD444037F5D0DEDC6A57C0A6DE35DF8EFD4440E72C399FE16A57C0EC51B57F8CFD444037BBE89EE66A57C043AD6D5F8BFD4440C967257FE86A57C0A19BD59E89FD444089E2D93EED6A57C019BB3D1F83FD444030153D3FF26A57C08674A41E76FD44402B56BD9EF46A57C0EDCE6DDF74FD44402721019FFB6A57C0E8F30D3F75FD444078F409BF006B57C0F82EBD9E74FD44401860E5FE026B57C0084F845F73FD4440C92431DF036B57C03D73CD9E73FD4440ADBDC9BE046B57C0BC84355F78FD444082BBAD7E066B57C0CFDFBD3E7AFD4440C116FE1E076B57C0BC9DB4BE7AFD4440249D117F0B6B57C01F39045F7BFD44408769DAFE0E6B57C0F2D335FF7DFD444026200E5F116B57C0B469A43F82FD44407F6CAEBE116B57C09EA4F59E87FD4440AFA5D63E0F6B57C04B37A59E8CFD444056FDA1DE0C6B57C0731FDEBE8EFD4440243712DF056B57C0ECF0BCBE90FD4440495FE5FE026B57C09E2EA51F93FD44408B6CFD7E016B57C0A5DC157F96FD4440336D09BF006B57C089CB947E9EFD44402226323FFE6A57C0A08BCE7FA1FD44406139A6BEFB6A57C01FA4BE9EA1FD44409561C1FEF96A57C0DF0AC51EA1FD44403A65E97EF76A57C0F163BEFE9BFD444047F410FFF46A57C0DB75461F99FD4440F4D6297FF36A57C0389DA5BF98FD444055B3957EF16A57C021DAE47E99FD4440F87709DFEF6A57C0DE98C65F9CFD44406759C93EEE6A57C06645767EA0FD44404FBFD47EED6A57C02E194EDFA3FD44409E49E1BEEC6A57C00F2F7E9EA5FD444081BAEDFEEB6A57C01027E65EAAFD4440B6BBA4DEEA6A57C00DF3769FACFD4440B0481DFFE86A57C0255BA63FAFFD444068AEEC5EE66A57C0FCD02D1FB1FD444089402D5FE26A57C0B69AD6FEB0FD44404FC7F9FEDF6A57C0A5DFE5FEAFFD444021CB207FDD6A57C02044C63FADFD44400F08D13ED76A57C03255755FA1FD4440C53DF9BED46A57C0E459ED9E9EFD444071A9D45ED16A57C06C17151F9CFD4440CFA4F406CE6A57C091EE373D99FD4440,1673500,2765537,222.68,201.72437,-20.955630000000014
0106000000010000000103000000010000000B00000050A638C1CD6A57C0A431374071FD4440591AF8C0CD6A57C024BC331B71FD4440D3FD081FCE6A57C02139AD3F6BFD44406DEB009FCE6A57C0A68ECD5E68FD44408B405F77CF6A57C0838F1FA066FD4440AB5E6D23DA6A57C09D32C89A66FD4440CC0FD13ED76A57C051209E5E6BFD4440BA07981ED56A57C077DA75DE6DFD444057DD34FFD06A57C04CE2F41E71FD44401123F81ECF6A57C0938145BF71FD444050A638C1CD6A57C0A431374071FD4440,1675300,2835021,164.64,204.03448,39.394480000000016
0106000000010000000103000000010000001F000000157F8F11266B57C069A1C77466FD4440E1B95C2C3D6B57C0B956376966FD4440B0F01A9F3D6B57C09A003CFF66FD4440CCC7DA9E416B57C050BDD45F6EFD444029FBBA9E436B57C0A91154BF70FD4440F966AB9E446B57C08FBE4B3F71FD44406EBBEEFE456B57C0598D33BF72FD44407A09171F496B57C0FE567CDF73FD4440D6E4E71E4C6B57C094D203BF75FD4440B9CBC25E4E6B57C017B5E3BE77FD4440ABFDF2FE506B57C0340634FF7DFD4440C654F7BE506B57C0036624FF7EFD44400DFDDE9E4C6B57C0A52A259F84FD44407EA19FFE4A6B57C0775B1C1F85FD4440BA2CCB3E486B57C0425F249F84FD444000A08E5E466B57C0CC76845E83FD4440549EB31E446B57C0231FBCBF80FD4440CC979EBE3F6B57C0BE9185FF78FD4440A89E07DF3E6B57C0F277DD3E78FD4440EFDDBAFE3D6B57C0DC19DD3E78FD444005EFAA5E396B57C09E72BD9E74FD4440DB2F373F366B57C03CD5ACDF70FD44409AFD96FE346B57C037115D3F70FD44400B1E0A5F336B57C0558CCCDF6EFD44403B14D7FE306B57C00256D45F6EFD44408F3EF65E296B57C00A26FD9E70FD44401B470A1F286B57C0BEA15D3F70FD4440BE34229F266B57C0E30B1D9F6EFD44406459D6BE256B57C0CCDFD35F6EFD44400FD4E1FE246B57C0FA651DFF68FD4440157F8F11266B57C069A1C77466FD4440,1679582,2765537,209.98,201.72437,-8.255629999999996
0106000000010000000103000000010000000D0000001EFBA01E186B57C0BBD1A840CCFD444032122336086B57C0BBD1A840CCFD444050FFD95E096B57C0FF4DFD9ECAFD44402E580EBF0B6B57C0186D5D9FC4FD4440946FD27E0F6B57C077F1567FBFFD444090AEFE5E126B57C0451FD51FBDFD4440FAF2D11E156B57C065EC857FBCFD4440F7C4A99E176B57C0CED3C53EBDFD4440536EEEFE186B57C0F40D0E5FBEFD4440C44AD2BE1A6B57C0B935357FC1FD44403DD72ADF1A6B57C0E146B6DEC3FD4440A51C3BDF196B57C0CD5876BFC8FD44401EFBA01E186B57C0BBD1A840CCFD4440,1679975,2765537,193.95,201.72437,7.774370000000005
010600000001000000010300000004000000C80000001ED164FB516B57C0BBD1A840CCFD444093B69547476B57C0BBD1A840CCFD4440AC25345F476B57C06CA7E51ECCFD44404C2ACFFE476B57C05293C57EC8FD4440A301D87E476B57C069298D5EC6FD44402205B05E446B57C0B1B5C5DEC2FD444080C4121F3E6B57C0D21C457FC0FD444066473F5F3B6B57C0436006DFBEFD4440D8E6CA5E376B57C034A6B57FB9FD4440CBEE3EBF356B57C03059653FB3FD44405B9F363F366B57C0C3D805FFADFD4440CE39D3DE366B57C02B5B25FFABFD44400AB3FEBE396B57C0E7F4CC3EA6FD4440B57AE27E3B6B57C0711E9EDF9EFD444054FF36DF3B6B57C0C611D57E9AFD4440C78AC63E3D6B57C0A3D2BD5E96FD4440B1220F5F3E6B57C0BB6D15DF90FD444085F60E5F3E6B57C0A23EA57F8DFD4440DCB2BEBE3D6B57C049248C5F89FD44406D3ACBFE3C6B57C0F05AF59E87FD4440AF1B8F1E3B6B57C0D30ACD5F85FD4440820DBB5E386B57C029C7159F85FD4440451E3BFF356B57C092109C5F88FD4440C04702DF336B57C024AA043F8CFD44405939CE7E316B57C087A305DF91FD44403234D6FE306B57C01E83753E95FD4440F2C4EABE2F6B57C0A800AE3F98FD44402D6107FF2D6B57C02DA6CD9EA0FD444054F9BA1E2D6B57C0488B94BEA9FD4440357E0F7F2D6B57C09C1E66DFB8FD4440E08FF33E2F6B57C0B9A35DFFBEFD44407E889E7E346B57C0923CEDFEC5FD44401513C79E376B57C0855F6E3FC9FD44407E97063F396B57C055A255BFCAFD4440B436EBFE3A6B57C080A2957ECBFD4440EA0811E53B6B57C0BBD1A840CCFD4440EF7BBB78296B57C0BBD1A840CCFD44402141F75E296B57C006A88EFECBFD4440EC02039F286B57C039297D3FC8FD444008CBB6BE276B57C0BE88567FBFFD4440C93D3A1F256B57C0EE248EFFBBFD44402C301A7F216B57C03779CDBEBCFD44408BE1E61E1F6B57C0D7DCF5DEBFFD444039409A3E1E6B57C0C7E0B6DEC3FD4440C3DC92BE1E6B57C0B4E01D9FC8FD44403FE44D6F206B57C0BBD1A840CCFD44401EFBA01E186B57C0BBD1A840CCFD4440A51C3BDF196B57C0CD5876BFC8FD44403DD72ADF1A6B57C0E146B6DEC3FD4440C44AD2BE1A6B57C0B935357FC1FD4440536EEEFE186B57C0F40D0E5FBEFD4440F7C4A99E176B57C0CED3C53EBDFD4440FAF2D11E156B57C065EC857FBCFD444090AEFE5E126B57C0451FD51FBDFD4440946FD27E0F6B57C077F1567FBFFD44402E580EBF0B6B57C0186D5D9FC4FD444050FFD95E096B57C0FF4DFD9ECAFD444032122336086B57C0BBD1A840CCFD4440600DAEEBE36A57C0BBD1A840CCFD4440B14EB53EE46A57C0B73C977ECBFD444006FB9CBEE56A57C00B26077FC4FD4440ECE1F11EE66A57C0E8CA5DFFBEFD4440303F9DBEE56A57C0473E8EFFBBFD44406ABC011FE56A57C06102F63EBAFD4440BFC0289FE26A57C0F972C69EB7FD444030A9FDBEDF6A57C05F0CC79EB7FD444090E8D85EDC6A57C03F0EC77FB8FD444010A8085FD96A57C0DFDF9D1EBAFD4440DDAA103FD36A57C095A4B63EBEFD44400B32E19ED06A57C087128FBEC0FD444066CC1A51CE6A57C02A3C4CC2C3FD444093990F14CE6A57C0677D13C1A0FD44406E8DA4BECE6A57C060D1867E9FFD444071A9D45ED16A57C06C17151F9CFD4440C53DF9BED46A57C0E459ED9E9EFD44400F08D13ED76A57C03255755FA1FD444021CB207FDD6A57C02044C63FADFD44404FC7F9FEDF6A57C0A5DFE5FEAFFD444089402D5FE26A57C0B69AD6FEB0FD444068AEEC5EE66A57C0FCD02D1FB1FD4440B0481DFFE86A57C0255BA63FAFFD4440B6BBA4DEEA6A57C00DF3769FACFD444081BAEDFEEB6A57C01027E65EAAFD44409E49E1BEEC6A57C00F2F7E9EA5FD44404FBFD47EED6A57C02E194EDFA3FD44406759C93EEE6A57C06645767EA0FD4440F87709DFEF6A57C0DE98C65F9CFD444055B3957EF16A57C021DAE47E99FD4440F4D6297FF36A57C0389DA5BF98FD444047F410FFF46A57C0DB75461F99FD44403A65E97EF76A57C0F163BEFE9BFD44409561C1FEF96A57C0DF0AC51EA1FD44406139A6BEFB6A57C01FA4BE9EA1FD44402226323FFE6A57C0A08BCE7FA1FD4440336D09BF006B57C089CB947E9EFD44408B6CFD7E016B57C0A5DC157F96FD4440495FE5FE026B57C09E2EA51F93FD4440243712DF056B57C0ECF0BCBE90FD444056FDA1DE0C6B57C0731FDEBE8EFD4440AFA5D63E0F6B57C04B37A59E8CFD44407F6CAEBE116B57C09EA4F59E87FD444026200E5F116B57C0B469A43F82FD44408769DAFE0E6B57C0F2D335FF7DFD4440249D117F0B6B57C01F39045F7BFD4440C116FE1E076B57C0BC9DB4BE7AFD444082BBAD7E066B57C0CFDFBD3E7AFD4440ADBDC9BE046B57C0BC84355F78FD4440C92431DF036B57C03D73CD9E73FD4440C18D99BE076B57C0F4EE6C3F6FFD44401B6FD1DE096B57C069F6BCDF6FFD4440602F0EBF0B6B57C0E63D6D3F6FFD444093D6A1DE0C6B57C001CACDFE6DFD44403D63CDBE0F6B57C0D417D5BF68FD4440A5BCB53E116B57C0E362843E67FD4440244AEBF9126B57C010D7557E66FD4440DC7D5E45166B57C0EEB3AF7C66FD4440676FB5DE166B57C0BED39C9F66FD4440785CFA3E186B57C07CCC841F68FD4440EAACE57E196B57C0B222D4BF68FD444031AFED9E1E6B57C0BDE1B37E6FFD44408E47CADE206B57C0DCF74C3F71FD44404C1EFA7E236B57C095DAF31E71FD44406459D6BE256B57C0CCDFD35F6EFD4440BE34229F266B57C0E30B1D9F6EFD44401B470A1F286B57C0BEA15D3F70FD44408F3EF65E296B57C00A26FD9E70FD44403B14D7FE306B57C00256D45F6EFD44400B1E0A5F336B57C0558CCCDF6EFD44409AFD96FE346B57C037115D3F70FD4440F6AE0A5F336B57C058177CFE72FD4440694B2A5F316B57C0B5706DDF74FD44400533AA7E286B57C05B120DDF7AFD4440BDD7355F256B57C0C3533D7F7DFD4440641E02FF226B57C0021BB55E80FD44401701BF9E216B57C0CE878DBF83FD4440753A22FF206B57C014E4049F86FD4440ADD921FF206B57C0C03ADD1E89FD4440E6E616BF216B57C00C4E0DBF8BFD4440EE9FFA7E236B57C0BEF744DF8DFD4440389C129F276B57C0DD1F9D1E8DFD4440F4CF1E7F2C6B57C0DD543DBF88FD4440DE6A3A5F306B57C0D2FA843F84FD44406138DFBE3B6B57C0E9BF63FF7AFD4440EFDDBAFE3D6B57C0DC19DD3E78FD4440A89E07DF3E6B57C0F277DD3E78FD4440CC979EBE3F6B57C0BE9185FF78FD4440549EB31E446B57C0231FBCBF80FD444000A08E5E466B57C0CC76845E83FD4440BA2CCB3E486B57C0425F249F84FD44407EA19FFE4A6B57C0775B1C1F85FD44400DFDDE9E4C6B57C0A52A259F84FD4440C654F7BE506B57C0036624FF7EFD4440ABFDF2FE506B57C0340634FF7DFD444022C2139F546B57C027D2545F76FD444039409B7E566B57C0AB0975BF6EFD4440FD11F39E566B57C0DDE7341F6DFD4440C5DF3BBF576B57C098C3B3BF6AFD4440ACD55C1A596B57C00BD83C5B66FD4440A5D98E515B6B57C011F8205A66FD4440C570D7C15B6B57C085B06D388AFD44409C711BBF596B57C01E3F85DF89FD4440C016A03E566B57C0A77884DF89FD4440A5348F9E516B57C0D011C57F8BFD444017ECAADE4F6B57C03259ADFF8CFD444055BFBBDE4E6B57C0507F34DF8EFD444092E6C25E4E6B57C06A10ADBE91FD44408A02B09E4F6B57C0D9DD8C9F94FD4440623AEB7E516B57C033E5147F96FD444065512FDF526B57C0334BA4BF98FD4440FB2F30DF526B57C060858C3F9AFD444038BBE7BE516B57C0E3DD6D3F9CFD4440972BFB7E506B57C0DE955D3F9DFD4440EE6027BF4D6B57C0FAAE64BF9CFD44403C8B9FFE4A6B57C0E1F22D9F9AFD4440126BB77E496B57C050FE441F99FD44406BAED77E476B57C0E9BE9D5E98FD4440C2820FFF436B57C0AFBC8D5E99FD444074F8E21E416B57C04A9B65BF9CFD4440E3F5963E406B57C042B6D51EA0FD4440E16F3FFF406B57C0C43B9D1FAAFD444001B81FFF426B57C00F428DDEAFFD444065FCCFFE476B57C029FB45DFBAFD4440BAB3B3BE496B57C0D31F25DFBCFD44402547F35E4B6B57C01B69767FBDFD4440B33AD09E4D6B57C0754FDDBEBBFD4440DE460B7F4F6B57C0BFAC1CBFB7FD44407E12003F506B57C0AFDEF49EB4FD444005DEFB7E506B57C0A3B7359FB0FD44407B2D003F506B57C01C06A63FAFFD4440CDD9F7BE506B57C0EF960C7FADFD444060B9A3FE556B57C096406D1FADFD44402773D75E586B57C0CBFCC45EACFD44402E5CAFDE5A6B57C018374C7FA9FD4440EB76BD1A5C6B57C0EB515A9EA6FD444066ABC8845C6B57C0236B607EC8FD4440E788AB1E5B6B57C05E6A85BFC7FD44403F2F407F576B57C038528E3FC7FD44404C6BFFDE556B57C03E0276DEC7FD44406734DB7E526B57C073B8A45FCBFD44401ED164FB516B57C0BBD1A840CCFD444019000000D59EFE8C3E6B57C08EA104C0B4FD4440D1112AA13E6B57C09EEFFDBBB4FD4440CCCFF2B33E6B57C04E2050B0B4FD44408A2311C43E6B57C0D5F3C69DB4FD444035D96BD03E6B57C065CAA585B4FD444043682BD83E6B57C0AB9A9169B4FD4440A1A3C8DA3E6B57C09C41744BB4FD4440F1EF15D83E6B57C05B205B2DB4FD4440425F42D03E6B57C0664E5311B4FD4440C37BD6C33E6B57C0E7D045F9B3FD4440B5F9AAB33E6B57C04747D6E6B3FD4440DFF2D9A03E6B57C0625246DBB3FD4440EBACAB8C3E6B57C091A95FD7B3FD44407D3A80783E6B57C0645B66DBB3FD4440EA7CB7653E6B57C0612A14E7B3FD4440572999553E6B57C072569DF9B3FD444086733E493E6B57C0767FBE11B4FD44400AE47E413E6B57C0E4AED22DB4FD44401DA8E13E3E6B57C0D307F04BB4FD44403C5B94413E6B57C03429096AB4FD44407FEB67493E6B57C079FB1086B4FD4440DECED3553E6B57C060791E9EB4FD44401351FF653E6B57C06F038EB0B4FD44405258D0783E6B57C0A0F81DBCB4FD4440D59EFE8C3E6B57C08EA104C0B4FD444019000000F4BB16CE266B57C069A0B23EABFD4440D6B825E2266B57C0EABDB13AABFD44402FFBD3F4266B57C01487142FABFD4440C49BDB04276B57C08F9AA51CABFD4440CAF22411276B57C0A68EA604ABFD4440BCA6D918276B57C0CF06BAE8AAFD4440E847731B276B57C0332CC7CAAAFD4440D179C418276B57C0917AD8ACAAFD4440800AFC10276B57C01D25F890AAFD4440FBC1A104276B57C012800C79AAFD44405C218DF4266B57C06ADCB666AAFD44403CB3D6E1266B57C03317375BAAFD44404EEDC4CD266B57C056CD5557AAFD4440F8F0B5B9266B57C0B8AF565BAAFD444008AF07A7266B57C043E6F366AAFD4440980E0097266B57C05DD26279AAFD44406AB7B68A266B57C0DCDD6191AAFD444012030283266B57C063654EADAAFD444053616880266B57C0E23F41CBAAFD4440DF2E1783266B57C0A0F12FE9AAFD4440C99DDF8A266B57C06A471005ABFD444029E63997266B57C0D8ECFB1CABFD4440EE864EA7266B57C0EE90512FABFD444075F504BA266B57C07256D13AABFD4440F4BB16CE266B57C069A0B23EABFD4440260000005EEAB51EF56A57C072E8451FC6FD4440DFCCD1FEF86A57C03A368F5EC6FD44400523F29EFC6A57C07C01F77EC5FD4440FD78C91EFF6A57C0215AB6DEC3FD4440D790E13E036B57C0356326DFBCFD44408187269F046B57C07227B57FB9FD4440245612DF056B57C0A80ED57FB7FD4440D68FEA5E086B57C022F395FEB4FD44401D66969E0D6B57C0023B269FB1FD4440E1DF953E136B57C0E45ED6FEB0FD4440469B2A3F156B57C090D3943FB0FD4440B52A1E9F1B6B57C0C7FCA53FAFFD44402C07061F1D6B57C05924A65EAEFD4440E2D4DADE1F6B57C0C23B2D7FABFD44400612BF9E216B57C07E5C0DDFA7FD4440611B17BF216B57C04560A5FFA3FD444066A31A7F216B57C0FBE8A51EA3FD44408C2137BF1F6B57C0909A1C3FA1FD44408E8AF61E1E6B57C0CF83D41EA0FD444059B83E9F196B57C02D6F7DDFA0FD444045DB3EFF136B57C0F60CA51EA3FD4440B929FE5E126B57C030DFE4BEA4FD444044810DBF0B6B57C08EA3A5BEA8FD44408D65269F046B57C064E7A59FA9FD4440AF84369F036B57C03F9B8D3EAAFD44406BE5C55EFF6A57C087AB7E3EABFD44407E6B155FFA6A57C0348995BEA9FD4440E1BCD5BEF86A57C0420D96BEA9FD4440E732B25EF56A57C08ED0E65EAAFD44408A072E3FF36A57C074D02D7FABFD444058B8115FEF6A57C0470FA63FAFFD4440D193DDFEEC6A57C05E52169FB2FD44401667A5DEEA6A57C09600A79EB9FD4440800BF93EEB6A57C09AC7CD9FBDFD44406411EDFEEB6A57C0B86DDE5EC1FD44403C952D9FED6A57C0F8FABE3FC4FD4440321BC93EEE6A57C081AE5D9FC4FD44405EEAB51EF56A57C072E8451FC6FD4440,1689022,2922031,200.48,203.26524,2.785240000000016
0106000000020000000103000000010000000500000093990F14CE6A57C0677D13C1A0FD4440CFA4F406CE6A57C091EE373D99FD444071A9D45ED16A57C06C17151F9CFD44406E8DA4BECE6A57C060D1867E9FFD444093990F14CE6A57C0677D13C1A0FD444001030000000100000006000000591AF8C0CD6A57C024BC331B71FD4440ABB8B2AECD6A57C0EB1E04A166FD44408B405F77CF6A57C0838F1FA066FD44406DEB009FCE6A57C0A68ECD5E68FD4440D3FD081FCE6A57C02139AD3F6BFD4440591AF8C0CD6A57C024BC331B71FD4440,1689289,2800480,184.26,202.48384,18.223839999999996
0106000000020000000103000000010000000A000000C4930599056B57C073F6078566FD4440244AEBF9126B57C010D7557E66FD4440A5BCB53E116B57C0E362843E67FD44403D63CDBE0F6B57C0D417D5BF68FD444093D6A1DE0C6B57C001CACDFE6DFD4440602F0EBF0B6B57C0E63D6D3F6FFD44401B6FD1DE096B57C069F6BCDF6FFD4440C18D99BE076B57C0F4EE6C3F6FFD44402C23BE7E056B57C0FCD0851F68FD4440C4930599056B57C073F6078566FD44400103000000010000000B000000DC7D5E45166B57C0EEB3AF7C66FD44401844A2C7206B57C06E416D7766FD44400FD4E1FE246B57C0FA651DFF68FD44406459D6BE256B57C0CCDFD35F6EFD44404C1EFA7E236B57C095DAF31E71FD44408E47CADE206B57C0DCF74C3F71FD444031AFED9E1E6B57C0BDE1B37E6FFD4440EAACE57E196B57C0B222D4BF68FD4440785CFA3E186B57C07CCC841F68FD4440676FB5DE166B57C0BED39C9F66FD4440DC7D5E45166B57C0EEB3AF7C66FD4440,1689439,2800480,177.99,202.48384,24.493839999999977
0106000000010000000103000000010000000B000000EF7BBB78296B57C0BBD1A840CCFD44403FE44D6F206B57C0BBD1A840CCFD4440C3DC92BE1E6B57C0B4E01D9FC8FD444039409A3E1E6B57C0C7E0B6DEC3FD44408BE1E61E1F6B57C0D7DCF5DEBFFD44402C301A7F216B57C03779CDBEBCFD4440C93D3A1F256B57C0EE248EFFBBFD444008CBB6BE276B57C0BE88567FBFFD4440EC02039F286B57C039297D3FC8FD44402141F75E296B57C006A88EFECBFD4440EF7BBB78296B57C0BBD1A840CCFD4440,1689585,2800480,201.52,202.48384,0.9638399999999763
