geometry,objectid,mukey,observed,predicted,resid
0106000000010000000103000000010000001A0000000D8BBD53217357C0AAABD12F51F44440826B1D89227357C072D1612751F444404956099C237357C0351152CD51F444402995756B247357C0B5C99A1A53F444400E2CF5DB247357C0EEEEB2C454F4444087FC44F5247357C09DA521135AF44440F3FCEC7A247357C0786B5A1F61F4444000C65146227357C0E8E77A216CF44440AC851D2F227357C03014B3E76DF44440DD760187227357C0D8D1428270F44440DD4D31CD247357C07FE762B775F4444083941138257357C0263C1A4878F4444016BB41CD237357C0209649237CF444403DF7E909217357C0EDAC5AC380F44440757A01031F7357C03CBB3A9682F4444038E2F1AB1C7357C0FEAF02EC82F444401ECCF4031B7357C054E4B2F181F44440625299E8197357C0AAE761E97FF4444069436130197357C0B9C0CA747DF444401EEE8D05187357C05A0D2B9476F444405EC5ACF4177357C02E3F92D374F4444069CD0989187357C0D410B24C72F44440C0409D6A1B7357C05C700A9568F4444023DD697D1E7357C091A6B2A555F44440E3F82D131F7357C00D8FF11B54F444400D8BBD53217357C0AAABD12F51F44440,13447276,2550285,54.85,60.53773,5.687730000000002
0106000000010000000103000000010000000D00000018C6531F5B7357C05C47C5F92FF444400DE7AA0E5B7357C0E5C1A8613DF44440D820D1BB597357C01F2661583EF44440F4114DDA557357C00EE5118840F444408B457D53527357C01254393241F44440D615618F507357C0E52289C440F4444035E9AD804F7357C0060DDAFC3FF4444053803D974E7357C0D13F8AC73DF444409173B9C04E7357C03F4189053CF44440F7C8C9824F7357C09D33B99A3AF44440B335CD85577357C0901D3AE434F44440CD00313D5A7357C0F397B16F31F4444018C6531F5B7357C05C47C5F92FF44440,13449079,2835012,65.52,61.63638,-3.8836199999999934
0106000000010000000103000000010000001700000065FCD00DF67257C0B02F182140F44440A099B220F67257C00B5D730D27F44440C8D9BEB0057357C08FB5376227F4444070AB3968097357C053CC82AD32F44440898DA5370A7357C02BDECAFA33F4444089C5C1CE0B7357C0DF46222935F444403BE0B1BD0E7357C086DC417235F44440C819EDD8117357C089929AEF32F4444084AB95B5147357C0DDD949712EF444408DC0ECB6157357C08D47914B2AF44440E050FBC9157357C0284BE7B927F4444049B52080227357C0090124FF27F44440D3F3C9FB217357C0AC72F1452AF444401FD8F506187357C0319261A73AF444401DC5B93A117357C037E64A454BF44440A44569050F7357C07DF2113E4EF44440E1DA60690D7357C08F76C25F4FF44440A5B635100B7357C0DE59D2404FF44440CBC8D545087357C0842C22C54DF444401508B524FE7257C0F03999EE42F4444058C730DBF87257C0FB04C13042F44440D7D9B02FF77257C024764A4041F4444065FCD00DF67257C0B02F182140F44440,13455735,2765522,57.86,61.65388,3.7938800000000015
0106000000010000000103000000010000003B000000791B61223A7357C0D490DE7F28F4444044B3BE275B7357C0EE6DBA3329F4444018C6531F5B7357C05C47C5F92FF44440CD00313D5A7357C0F397B16F31F44440B335CD85577357C0901D3AE434F44440F7C8C9824F7357C09D33B99A3AF444409173B9C04E7357C03F4189053CF4444053803D974E7357C0D13F8AC73DF4444035E9AD804F7357C0060DDAFC3FF44440D615618F507357C0E52289C440F444408B457D53527357C01254393241F44440F4114DDA557357C00EE5118840F44440D820D1BB597357C01F2661583EF444400DE7AA0E5B7357C0E5C1A8613DF44440FA97B7F05A7357C06163727B55F44440A7604BFA597357C02BABB53F59F44440286701B9597357C01BD2C96B59F4444085197ACB567357C041B639285AF44440E54A25BD4F7357C07521A1EE58F4444042B6E1C74C7357C0ECD5613D59F444404F0936FE497357C00CD7B2BE5AF444408D74192F447357C0939C51295FF44440FA27CE2F447357C0CA8FDAF258F4444062D3F1B1437357C0C2D85A6656F444400686B1C5427357C00C66595855F4444052C8619E417357C03F72A1E354F44440A6EF19433F7357C065622A5B55F444407B012D303E7357C0574B691A56F44440D2EDF0D63C7357C07B44F9D357F44440931C71A43A7357C08E508A115DF444401DB991DF397357C0AD89C28268F44440EAF4751B387357C0FB2CA2DC6AF44440C61E5AD0357357C0E54AF9836BF44440400359C2347357C0347C31A76AF444400999298A337357C0CD9399B968F44440169AE9E9317357C0A86D820463F44440CF5C0944307357C02207B2E056F44440E3114E3C307357C0C56B419251F444405C7EE9AE307357C004AD91E94FF444403C30BD33327357C048D7B2354DF44440ADF5F553347357C0D26EBAA74BF44440439555CF3A7357C0A436A1A04CF44440827EBD923C7357C033ECFA664CF444408E9559133E7357C0FDA2C2FA4AF44440133805C13E7357C063BA0A9748F44440A6F9B8673E7357C0183A49E046F444406C4AC9943D7357C01BD5FA8B45F44440BC833104397357C01CE409AB43F44440684E39FD377357C0803DA2C842F44440BE61B15B347357C0450479F73BF44440BD0C99EC337357C0860B499537F444406DD1E158347357C057C8F90535F44440A1A93513357357C05FA9FA9D33F444407FDC9001367357C05B4A228632F444407C24F2D9397357C0B941523A30F444400F9D25A53A7357C0BC7EC9E12EF444407BEADC193B7357C0C9BF7A522CF444404669D1CB3A7357C0E59122BC29F44440791B61223A7357C0D490DE7F28F44440,13458179,2765522,59.02,61.65388,2.633879999999998
01060000000100000001030000000100000010000000D5E1E63D437357C0AA720711BFF44440E8A5958A467357C047426E21BFF44440424713104C7357C02F888E2FC4F44440C29CF7EE4B7357C04A763A27D2F4444072BB31D9457357C0F9AED22CDBF4444040D63163437357C0CD40DBA9DDF4444031DDE51A417357C02FCC229DDEF444407903CEBC3E7357C07251B294DEF444403D343DD63C7357C0F0802B88DCF444402018720C3C7357C02D1D7224DAF444403C26F50F3C7357C0F96ADA63D8F44440077C89D53C7357C005656B04D5F44440BF04E6C0407357C036F5F11CCBF44440652941DC417357C01366DB89C1F444407E94D1E1427357C05FE9C158BFF44440D5E1E63D437357C0AA720711BFF44440,13458216,2765522,42.74,61.65388,18.91388
0106000000010000000103000000010000000A00000043F055A7047357C0FC3E1E9302F54440C3479D7BF57257C06817C44D02F544408D1DAE81F57257C0C426683FFAF444409564D538F77257C0F0710A05F8F44440F4CAD5CDF87257C0E66222DFF6F44440A6465955FC7257C084DA3A40F6F444401054EDAFFE7257C0D2E6AACFF6F44440701451B3007357C0F1595AA5F8F444408B2F8DCE037357C061D20AFFFDF4444043F055A7047357C0FC3E1E9302F54440,13458451,2765522,65.46,61.65388,-3.806119999999993
01060000000100000001030000000100000061000000BBD71FCC247357C05204162BFBF44440AD84AA57247357C0E7510BB7FCF444406828D5A1257357C08F84E02903F54440714644ED0C7357C06237F0B802F544406466A5610D7357C0E0944B0701F54440A3B9399A137357C06104BB56F6F444408DED2C87147357C0CEFAC114F4F44440F0F8F01C157357C06DF8FAF1EDF4444064C3459C147357C0F93AAB62EBF44440DAF138C7137357C0E65AE22BEAF4444093F40DC8117357C07E8BDA35E8F44440B2B9450A107357C078B2FACAE7F44440FE9A9DEF0E7357C09E416380E8F444403A034DBA0C7357C0DD5E5B76EBF444409CBB84B00B7357C039AF1A4CECF44440D5D63DD1057357C04FBFAA7EEDF444403308450B007357C03F4CD385EBF44440F7200116FD7257C033C11137EBF444408D3E5511F97257C0E929A3C3ECF444401F28138AF57257C0471D3619EFF4444059D5EEA1F57257C0000C7469CFF44440975EB121F67257C06A332AD2CEF44440DA224162F87257C018D1B2B4CDF44440D4BBC98DF97257C089761BB6CDF444406E4969EAFC7257C069D2E173CFF444404F7F9543FF7257C0F7967918CFF44440071E513A017357C0698EE22ACDF444404883C1F6017357C099BA8AC1CAF44440DA2111E3017357C083D721FEC8F444401E93F13F017357C0B0AF027AC7F44440B8E0C4F7FC7257C0462CF26EC4F4444014CF8C12FC7257C034E66A43C3F4444043470127FB7257C0221F3AFDC0F44440205F59EDFA7257C02BEDD97EBDF444403632811EFC7257C02E8CF981B8F444403EFCC0FCFB7257C0BFA7C9C2B6F44440B22FCD69FB7257C00A74D234B5F44440794A7D6FFA7257C006590224B4F444402C55F9E7F67257C0BC492213B4F4444014EB2FB8F57257C0F12E03DBB1F44440EE059CBEF57257C056866F53A9F4444063DB546EF67257C03C73A154A7F44440FC218132F77257C084F8290DA3F4444057B58866F77257C0372B23C09DF44440C28D851FF77257C0423FEA5699F444405AEA74D6F57257C01188717A93F44440B23618CFF57257C0DBC17E6E93F444401E52D7DCF57257C06F55AE2C81F44440D7380509F77257C0FF4442AE80F444407EBE4108F87257C096261BAA7FF4444072B5D186F87257C0E5E9B91A7EF444405CD0A42AF97257C054CB21D678F4444039D8F175F87257C0684BC96C76F44440B7CBEC20F77257C0595499AD74F44440108EC102F67257C0807FE20B74F4444089E2B8E6F57257C01C881A0D74F44440F77C7300F67257C0B86D45E151F4444070EF40AEF77257C097AC610852F44440F660D129FB7257C0B665911353F44440E1ACB451FE7257C073A2BA7F55F444404DC1201E027357C07CA7F1BB59F44440E6F9EC8A057357C0F6B7EAA05EF444405337D5150B7357C0A1D4220469F444403ECAE4880F7357C070C6F1A66EF44440C1E58989107357C0486CB22D73F44440A2F84CF2107357C02CC591CA7DF444407AB78125137357C0E7EE990685F444408CFB41A1137357C0EB581A9387F44440F734817F137357C088BA82378AF444404A7831B2127357C00B082A7C8EF444401182C9B30F7357C0AC7E0ABD8BF44440D9B395070E7357C0C63F42E08AF4444040227DA90B7357C04EF332598BF4444028C7C00C0A7357C005C592618CF44440E0EA48E1077357C0513D726F8FF44440BA0F2D1D067357C075934AFD92F4444005CA25BC057357C0B810437A96F44440D1463D2B067357C03AC341C09BF444405CB8AD14077357C0197292B4A2F444408EAEBD5D087357C00C7932A6A7F44440601DC1390A7357C084305219ABF4444065B6F1140E7357C0E3592A96B0F44440668431B50F7357C0D0C2BA4CB5F4444071DED4D40F7357C0E57DFA9DBAF444403C2C05100E7357C09C96F99FC7F44440D125056A0E7357C00645CA07CCF444405B1A6DF20E7357C06A56DA8BCEF4444041BA61FB117357C02F570BFCD3F44440890F81D9137357C0D18FCA60DCF4444063BA385C157357C024A0522FE0F444404AE9B1B4177357C0BA876AE7E2F44440C258F1511C7357C02ED7A987E4F444401100A6221F7357C079FBE24FF3F444407C1FC9C0207357C0AE277BFFF6F444400C739DF9227357C08D3DA2F2F9F444409654818C247357C0A7F63125FBF44440BBD71FCC247357C05204162BFBF44440,13461421,2765522,62.06,61.65388,-0.40612000000000137
0106000000010000000103000000010000002200000040227DA90B7357C04EF332598BF44440D9B395070E7357C0C63F42E08AF444401182C9B30F7357C0AC7E0ABD8BF444404A7831B2127357C00B082A7C8EF44440DBD8A9E0117357C05D7CAA6291F4444006E6CCCD0F7357C00416C3AF95F44440E67E79130F7357C0C478EA1B98F44440C9D10CCB0E7357C047F349B99AF44440CBB6C1F80E7357C0EF1B52259FF444403686310F107357C0A250BA20A5F44440A7EC7D49117357C0B9DDEA28A9F4444007DB05311A7357C0E44D73DABAF44440298D21F51B7357C00400336FC0F44440953FD1431D7357C0946C83C8CBF44440C258F1511C7357C02ED7A987E4F444404AE9B1B4177357C0BA876AE7E2F4444063BA385C157357C024A0522FE0F44440890F81D9137357C0D18FCA60DCF4444041BA61FB117357C02F570BFCD3F444405B1A6DF20E7357C06A56DA8BCEF44440D125056A0E7357C00645CA07CCF444403C2C05100E7357C09C96F99FC7F4444071DED4D40F7357C0E57DFA9DBAF44440668431B50F7357C0D0C2BA4CB5F4444065B6F1140E7357C0E3592A96B0F44440601DC1390A7357C084305219ABF444408EAEBD5D087357C00C7932A6A7F444405CB8AD14077357C0197292B4A2F44440D1463D2B067357C03AC341C09BF4444005CA25BC057357C0B810437A96F44440BA0F2D1D067357C075934AFD92F44440E0EA48E1077357C0513D726F8FF4444028C7C00C0A7357C005C592618CF4444040227DA90B7357C04EF332598BF44440,13466907,2922007,62.84,61.63858,-1.201420000000006
01060000000900000001030000000100000008000000E8EE4172477357C00DE02EF404F54440F928DF66457357C053FA1CFC04F54440BA1039D2447357C08E81D22104F544401D1BFA7A457357C0623ED3AB01F54440A350BD3D467357C0584E134F00F54440F167EA924B7357C09CBECCFCF8F44440CEF323804B7357C062BD85E800F54440E8EE4172477357C00DE02EF404F5444001030000000100000005000000055C9FE0307357C09518B94B05F54440F82A23BC2F7357C07295275005F5444002DAE4432E7357C03D0A315B01F54440B78FB9D02F7357C0F483A24303F54440055C9FE0307357C09518B94B05F544400103000000010000001A000000714644ED0C7357C06237F0B802F5444043F055A7047357C0FC3E1E9302F544408B2F8DCE037357C061D20AFFFDF44440701451B3007357C0F1595AA5F8F444401054EDAFFE7257C0D2E6AACFF6F44440A6465955FC7257C084DA3A40F6F44440F4CAD5CDF87257C0E66222DFF6F444409564D538F77257C0F0710A05F8F444408D1DAE81F57257C0C426683FFAF444401F28138AF57257C0471D3619EFF444408D3E5511F97257C0E929A3C3ECF44440F7200116FD7257C033C11137EBF444403308450B007357C03F4CD385EBF44440D5D63DD1057357C04FBFAA7EEDF444409CBB84B00B7357C039AF1A4CECF444403A034DBA0C7357C0DD5E5B76EBF44440FE9A9DEF0E7357C09E416380E8F44440B2B9450A107357C078B2FACAE7F4444093F40DC8117357C07E8BDA35E8F44440DAF138C7137357C0E65AE22BEAF4444064C3459C147357C0F93AAB62EBF44440F0F8F01C157357C06DF8FAF1EDF444408DED2C87147357C0CEFAC114F4F44440A3B9399A137357C06104BB56F6F444406466A5610D7357C0E0944B0701F54440714644ED0C7357C06237F0B802F544400103000000010000001500000059D5EEA1F57257C0000C7469CFF4444014EB2FB8F57257C0F12E03DBB1F444402C55F9E7F67257C0BC492213B4F44440794A7D6FFA7257C006590224B4F44440B22FCD69FB7257C00A74D234B5F444403EFCC0FCFB7257C0BFA7C9C2B6F444403632811EFC7257C02E8CF981B8F44440205F59EDFA7257C02BEDD97EBDF4444043470127FB7257C0221F3AFDC0F4444014CF8C12FC7257C034E66A43C3F44440B8E0C4F7FC7257C0462CF26EC4F444401E93F13F017357C0B0AF027AC7F44440DA2111E3017357C083D721FEC8F444404883C1F6017357C099BA8AC1CAF44440071E513A017357C0698EE22ACDF444404F7F9543FF7257C0F7967918CFF444406E4969EAFC7257C069D2E173CFF44440D4BBC98DF97257C089761BB6CDF44440DA224162F87257C018D1B2B4CDF44440975EB121F67257C06A332AD2CEF4444059D5EEA1F57257C0000C7469CFF4444001030000000100000008000000EE059CBEF57257C056866F53A9F44440B23618CFF57257C0DBC17E6E93F444405AEA74D6F57257C01188717A93F44440C28D851FF77257C0423FEA5699F4444057B58866F77257C0372B23C09DF44440FC218132F77257C084F8290DA3F4444063DB546EF67257C03C73A154A7F44440EE059CBEF57257C056866F53A9F444400103000000010000000A0000001E52D7DCF57257C06F55AE2C81F4444089E2B8E6F57257C01C881A0D74F44440108EC102F67257C0807FE20B74F44440B7CBEC20F77257C0595499AD74F4444039D8F175F87257C0684BC96C76F444405CD0A42AF97257C054CB21D678F4444072B5D186F87257C0E5E9B91A7EF444407EBE4108F87257C096261BAA7FF44440D7380509F77257C0FF4442AE80F444401E52D7DCF57257C06F55AE2C81F444400103000000010000005E000000F77C7300F67257C0B86D45E151F4444065FCD00DF67257C0B02F182140F44440D7D9B02FF77257C024764A4041F4444058C730DBF87257C0FB04C13042F444401508B524FE7257C0F03999EE42F44440CBC8D545087357C0842C22C54DF44440A5B635100B7357C0DE59D2404FF44440E1DA60690D7357C08F76C25F4FF44440A44569050F7357C07DF2113E4EF444401DC5B93A117357C037E64A454BF444401FD8F506187357C0319261A73AF44440D3F3C9FB217357C0AC72F1452AF4444049B52080227357C0090124FF27F44440791B61223A7357C0D490DE7F28F444404669D1CB3A7357C0E59122BC29F444407BEADC193B7357C0C9BF7A522CF444400F9D25A53A7357C0BC7EC9E12EF444407C24F2D9397357C0B941523A30F444407FDC9001367357C05B4A228632F44440A1A93513357357C05FA9FA9D33F444406DD1E158347357C057C8F90535F44440BD0C99EC337357C0860B499537F44440BE61B15B347357C0450479F73BF44440684E39FD377357C0803DA2C842F44440BC833104397357C01CE409AB43F444406C4AC9943D7357C01BD5FA8B45F44440A6F9B8673E7357C0183A49E046F44440133805C13E7357C063BA0A9748F444408E9559133E7357C0FDA2C2FA4AF44440827EBD923C7357C033ECFA664CF44440439555CF3A7357C0A436A1A04CF44440ADF5F553347357C0D26EBAA74BF444403C30BD33327357C048D7B2354DF444405C7EE9AE307357C004AD91E94FF44440E3114E3C307357C0C56B419251F44440CF5C0944307357C02207B2E056F44440169AE9E9317357C0A86D820463F444400999298A337357C0CD9399B968F44440400359C2347357C0347C31A76AF44440C61E5AD0357357C0E54AF9836BF44440EAF4751B387357C0FB2CA2DC6AF444401DB991DF397357C0AD89C28268F44440931C71A43A7357C08E508A115DF44440D2EDF0D63C7357C07B44F9D357F444407B012D303E7357C0574B691A56F44440A6EF19433F7357C065622A5B55F4444052C8619E417357C03F72A1E354F444400686B1C5427357C00C66595855F4444062D3F1B1437357C0C2D85A6656F44440FA27CE2F447357C0CA8FDAF258F444408D74192F447357C0939C51295FF44440D01876D73F7357C01B5F62E565F44440ABA9C1063D7357C0E37862AF6EF44440D8128D3B3C7357C036D17ABE74F44440495F35483C7357C08719B38476F44440667961DF3C7357C09B5A610E79F444408458C13E417357C00816E2897DF4444017554CC0417357C08A67F1737FF4444079F0DB52357357C036A4B8527EF44440CFB1C66A357357C09F296CAA87F4444080E63D1A357357C0CB5B12D886F44440CA3C05FA327357C0D05D0ADD7AF444409C62E10F327357C013AA229B77F4444012D5892D307357C0EEC3092F74F44440AC42C1452B7357C0F10AF2C56DF444406A224587297357C07C07AA2F6AF44440BDC83958287357C056440A1F66F44440AD0B55D3277357C0EC05D2F35FF4444037EEBD772A7357C06D26EAFE4BF44440241ADE392A7357C0A90B697B40F44440EC1A1170297357C0F8F389513BF444405635D156287357C05044C23939F4444046C36DDA267357C0CB4AB1C337F44440B15AE98D247357C09C9169FD36F44440F8D701A6217357C0C3CBA1E237F44440EEE0987A1E7357C0FAC02A493AF4444098F420D61C7357C03A4B42D43CF44440E32985FB1A7357C08C414A5C43F4444024A679801A7357C0BB13B2464BF44440DE71B1A3197357C06D3451844FF44440DDFD55E2187357C0570AAADF50F4444098FAD8E8157357C084F432CD53F444403D1EC52B147357C0B789223556F444403FF2F8CC117357C078EB712C5AF444407127F54A107357C0E5F931FF5DF444409C255D980F7357C05CEDB22E63F444403ECAE4880F7357C070C6F1A66EF444405337D5150B7357C0A1D4220469F44440E6F9EC8A057357C0F6B7EAA05EF444404DC1201E027357C07CA7F1BB59F44440E1ACB451FE7257C073A2BA7F55F44440F660D129FB7257C0B665911353F4444070EF40AEF77257C097AC610852F44440F77C7300F67257C0B86D45E151F444400103000000010000001A0000001695B7603A7357C0E99DF7E4BEF44440D5E1E63D437357C0AA720711BFF444407E94D1E1427357C05FE9C158BFF44440652941DC417357C01366DB89C1F44440BF04E6C0407357C036F5F11CCBF44440077C89D53C7357C005656B04D5F444403C26F50F3C7357C0F96ADA63D8F444402018720C3C7357C02D1D7224DAF444403D343DD63C7357C0F0802B88DCF444407903CEBC3E7357C07251B294DEF4444031DDE51A417357C02FCC229DDEF4444040D63163437357C0CD40DBA9DDF4444072BB31D9457357C0F9AED22CDBF44440C29CF7EE4B7357C04A763A27D2F44440AA8AB3CA4B7357C05618F273E1F444408486ADA24B7357C0E62A2B74E1F44440127C29FF457357C0614C6A22E4F44440906A4D49417357C0F53353EEE4F444404D8E495F3E7357C07001CA1CE4F44440D3F438A03A7357C02AA28267E1F44440DD8C11BB387357C0B6A2DA03DEF444409AEADCB4367357C05AF092AED5F444400707F542367357C052BD316ED0F44440B2EA75B3367357C0070E2B5FC9F44440D436F9D2387357C026F80A0EC2F444401695B7603A7357C0E99DF7E4BEF4444001030000000100000004000000E8A5958A467357C047426E21BFF44440103DCD1B4C7357C05ED51A3DBFF44440424713104C7357C02F888E2FC4F44440E8A5958A467357C047426E21BFF44440,13467687,2922007,60.89,61.63858,0.7485799999999969
01060000000100000001030000000100000012000000A7604BFA597357C02BABB53F59F44440572414FF557357C05AFBF1D368F444401C46A24B5A7357C021A8F14D78F4444044B3BE275B7357C0D4582AC381F4444017554CC0417357C08A67F1737FF444408458C13E417357C00816E2897DF44440667961DF3C7357C09B5A610E79F44440495F35483C7357C08719B38476F44440D8128D3B3C7357C036D17ABE74F44440ABA9C1063D7357C0E37862AF6EF44440D01876D73F7357C01B5F62E565F444408D74192F447357C0939C51295FF444404F0936FE497357C00CD7B2BE5AF4444042B6E1C74C7357C0ECD5613D59F44440E54A25BD4F7357C07521A1EE58F4444085197ACB567357C041B639285AF44440286701B9597357C01BD2C96B59F44440A7604BFA597357C02BABB53F59F44440,13470727,2834849,57.68,61.65155,3.9715500000000006
